# CoordinateSystem: PROJCS["CH1903+ / LV95",GEOGCS["CH1903+",DATUM["CH1903+",SPHEROID["Bessel 1841",6377397.155,299.1528128,AUTHORITY["EPSG","7004"]],TOWGS84[674.374,15.056,405.346,0,0,0,0],AUTHORITY["EPSG","6150"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4150"]],PROJECTION["Oblique_Mercator",AUTHORITY["EPSG","9815"]],PARAMETER["latitude_of_center",46.95240555555561],PARAMETER["longitude_of_center",7.439583333333329],PARAMETER["azimuth",90],PARAMETER["recitified_grid_angle",90],PARAMETER["scale_factor",1],PARAMETER["false_easting",2600000],PARAMETER["false_northing",1200000],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","2056"]]
#Label,X/Easting,Y/Northing,Z/Altitude,Yaw,Pitch,Roll,Error_(m),X_error,Y_error,Z_error,Error_(deg),Yaw_error,Pitch_error,Roll_error,X_est,Y_est,Z_est,Yaw_est,Pitch_est,Roll_est
DJI_0242.jpg,2507649.241365,1139185.641728,460.632788,124.212928,-0.729097,-1.324484,0.087686,0.007629,0.084079,0.023692,0.063156,0.012052,0.055078,-0.028458,2507649.248994,1139185.725805,460.656480,124.224980,-0.674019,-1.352942
DJI_0243.jpg,2507653.731944,1139182.871603,460.649564,124.374079,-0.318803,-1.489774,0.098402,0.060383,0.067463,0.038543,0.221749,0.135225,-0.165512,-0.059097,2507653.792325,1139182.939064,460.688107,124.509304,-0.484315,-1.548871
DJI_0244.jpg,2507658.956661,1139179.570475,460.738897,124.393887,0.013942,-1.501763,0.306854,0.295932,-0.020453,0.078523,0.513406,-0.019026,-0.490797,-0.149472,2507659.252585,1139179.550022,460.817420,124.374861,-0.476855,-1.651235
DJI_0245.jpg,2507663.779718,1139176.317590,460.853444,124.421233,0.300202,-1.208725,0.394278,0.388473,-0.023424,0.063210,0.642648,0.069185,-0.593641,-0.236220,2507664.168180,1139176.294167,460.916654,124.490418,-0.293439,-1.444945
DJI_0246.jpg,2507668.456520,1139173.345520,461.018659,124.403957,0.373778,-1.208748,0.282315,0.132010,-0.245343,-0.045625,0.521352,0.041230,-0.454157,0.252685,2507668.588527,1139173.100183,460.973034,124.445187,-0.080379,-0.956063
DJI_0247.jpg,2507673.961136,1139169.941632,461.081924,124.428745,-0.314312,-1.251672,0.218848,0.215301,0.023378,-0.031521,0.351304,0.031050,-0.328179,-0.121445,2507674.176431,1139169.965009,461.050403,124.459795,-0.642491,-1.373117
DJI_0248.jpg,2507679.469309,1139166.636453,461.095546,124.470790,-0.889724,-1.476017,0.240409,-0.050507,-0.213897,-0.097434,0.435550,0.032846,-0.226602,0.370508,2507679.418803,1139166.422561,460.998112,124.503636,-1.116326,-1.105509
DJI_0249.jpg,2507684.919784,1139163.206523,460.998859,124.578590,-0.882388,-1.477621,0.631871,-0.564693,0.275753,-0.065903,0.845182,-0.109203,0.804830,0.233786,2507684.355106,1139163.482268,460.932956,124.469387,-0.077558,-1.243835
DJI_0250.jpg,2507689.650800,1139160.409461,460.947028,124.567073,-0.740775,-1.612972,0.690095,-0.549871,0.413792,0.051469,0.927421,-0.131138,0.915638,0.067228,2507689.100943,1139160.823242,460.998497,124.435935,0.174863,-1.545744
DJI_0251.jpg,2507695.314773,1139156.912121,460.896345,124.561995,-1.115641,-1.691209,0.630427,-0.389100,0.477261,0.135133,0.791607,-0.037119,0.781629,-0.119668,2507694.925683,1139157.389369,461.031478,124.524876,-0.334012,-1.810877
DJI_0252.jpg,2507700.312877,1139153.673615,460.823616,124.478952,-1.050026,-1.621715,0.314157,0.243191,0.112701,0.163863,0.389832,0.127146,-0.288953,-0.228712,2507700.556062,1139153.786313,460.987479,124.606098,-1.338979,-1.850427
DJI_0253.jpg,2507705.146472,1139150.479770,460.731140,124.405139,-0.758910,-1.386239,0.339601,0.251121,0.177576,0.143992,0.392834,0.080544,-0.197535,-0.329865,2507705.397587,1139150.657341,460.875132,124.485683,-0.956445,-1.716104
DJI_0254.jpg,2507709.944452,1139147.541718,460.634112,124.323725,-0.222434,-1.370582,0.528658,0.479392,0.197811,0.102629,0.669421,0.071452,-0.409316,-0.524861,2507710.423831,1139147.739524,460.736741,124.395177,-0.631750,-1.895443
DJI_0255.jpg,2507714.918160,1139144.462668,460.626369,124.299987,-0.012522,-1.351278,0.457992,0.379034,0.247981,0.067794,0.559720,0.028207,-0.242771,-0.503540,2507715.297184,1139144.710642,460.694163,124.328194,-0.255293,-1.854818
DJI_0256.jpg,2507720.200330,1139141.245146,460.615012,124.259222,-0.300736,-1.396142,0.409223,0.313584,0.258904,0.045793,0.481688,0.053801,-0.128978,-0.460970,2507720.513906,1139141.504043,460.660805,124.313023,-0.429714,-1.857112
DJI_0257.jpg,2507725.680414,1139138.015012,460.595327,124.122855,-0.788420,-1.522784,0.376195,0.302265,0.221224,0.034904,0.429947,0.053213,-0.117679,-0.410090,2507725.982671,1139138.236230,460.630231,124.176068,-0.906099,-1.932874
DJI_0258.jpg,2507730.855576,1139135.065027,460.514814,123.979733,-0.763359,-1.755510,0.427730,0.346690,0.249991,0.016228,0.500022,0.052261,-0.119143,-0.482800,2507731.202257,1139135.315011,460.531042,124.031994,-0.882502,-2.238310
